homepage_url,shortname,title,description,objects_metadata_url,image_url
https://www.lib.uidaho.edu/digital/aers/,aers,Agricultural Economics Research Series,University of Idaho agricultural economics research,https://www.lib.uidaho.edu/digital/aers/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/aers.jpg
https://www.lib.uidaho.edu/digital/uiext/,uiext,Agricultural Experiment &amp; UI Extension Publications,"Primary sources for practical, research-based information on Idaho Agriculture, Forestry, Gardening, and Family and Consumer Sciences",https://www.lib.uidaho.edu/digital/uiext/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/agext.jpg
https://www.lib.uidaho.edu/digital/argonautphotos/,argonautphotos,Argonaut Photograph Collection,"Over 700 photographs from the University of Idaho newspaper, The Argonaut.",https://www.lib.uidaho.edu/digital/argonautphotos/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/argonautphotos.jpg
https://www.lib.uidaho.edu/digital/arbornotes/,arbornotes,Arbor Notes Collection,A Newsletter of the (University of Idaho) Arboretum Associates,https://www.lib.uidaho.edu/digital/arbornotes/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/arbornotes.jpg
https://www.lib.uidaho.edu/digital/archivalidaho/,archivalidaho,Archival Idaho Photograph Collection,Rare Idaho Photographs from Archives around the Country,https://www.lib.uidaho.edu/digital/archivalidaho/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/archivalidaho.jpg
https://www.lib.uidaho.edu/digital/barstock/,barstock,Barnard-Stockbridge Photograph Collection,"Historical Photographs of Northern Idaho Mines, Towns, and Scenery, 1894-1964",https://www.lib.uidaho.edu/digital/barstock/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/barstock.jpg
https://www.lib.uidaho.edu/digital/bigburn/,bigburn,The Big Burn Collection,An exhibition of materials related to the 'Big Burn' fires of 1910,https://www.lib.uidaho.edu/digital/bigburn/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/bigburn.jpg
https://www.lib.uidaho.edu/digital/lchsphotos/,lchsphotos,Bovill Historical Photograph Collection,Photographs from the collection of the Latah County Historical Society,https://www.lib.uidaho.edu/digital/lchsphotos/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/lchsphotos.jpg
https://www.lib.uidaho.edu/digital/bunkerhill/,bunkerhill,Bunker Hill Labor Collection,463 letters of correspondence between the managers and owners of the Bunker Hill Mine and Sullivan M. &amp; C. Co.,https://www.lib.uidaho.edu/digital/bunkerhill/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/bunkerhill.jpg
https://www.lib.uidaho.edu/digital/shattuck/,shattuck,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910","Early twentieth century slides depicting the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it",https://www.lib.uidaho.edu/digital/shattuck/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/shattuck.jpg
https://www.lib.uidaho.edu/digital/watkins/,watkins,Carleton Watkins Mine Interiors Collection,"Interior photos of mines in Butte, Montana, 1890, hundreds of feet below ground",https://www.lib.uidaho.edu/digital/watkins/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/watkins.jpg
https://www.lib.uidaho.edu/digital/cattle/,cattle,Cattle Producer's Handbook Collection,Handbook prepared regularly by the Western Beef Resource Committee (WBRC),https://www.lib.uidaho.edu/digital/cattle/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/cattle.jpg
https://www.lib.uidaho.edu/digital/chatcolab/,chatcolab,Chatcolab NW Leadership Lab Collection,A collection of packets from the Chatcolab Northwest Leadership Laboratory. Chatcolab offers a unique opportunity to build leadership by engaging in the creative planning and then sharing of a recreational experience.,https://www.lib.uidaho.edu/digital/chatcolab/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/chatcolab.jpg
https://www.lib.uidaho.edu/digital/crbp/,crbp,Columbia River Basin Project: Dam Construction in the Pacific Northwest,"Historical photographs of Grand Coulee Dam and Columbia River Basin Project construction, 1933-1965",https://www.lib.uidaho.edu/digital/crbp/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/crbp.jpg
https://www.lib.uidaho.edu/digital/boxing/,boxing,Donald R. Theophilus Boxing Photograph Collection,"Photographs of University of Idaho Boxers and Boxing Teams, 1934 - 1953",https://www.lib.uidaho.edu/digital/boxing/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/boxing.jpg
https://www.lib.uidaho.edu/digital/iddings/,iddings,"Edward John Iddings Lantern Slides, 1927","Slides from longtime College of Agriculture Dean, Edward John Iddings, including university-, agriculture-, and travel-related images",https://www.lib.uidaho.edu/digital/iddings/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/iddings.jpg
https://www.lib.uidaho.edu/digital/expforest/,expforest,Experimental Forest and Savenac Nursery Photo Archive,"Historical photographs of Experimental Forests and Savenac Nursery in Northern Idaho and Northwestern Montana, 1910 - 1989",https://www.lib.uidaho.edu/digital/expforest/data/metadata.json,https://www.lib.uidaho.edu/media/digital/small/expforest.jpg